Tank,Adult Lineage,Density,Block,GPP (mg.L.h),Filamentous algae (% cover),Chara (# shoots),Calanoida (#/L),Chydoridae (#/L),Cyclopoida (#/L),Ostracoda (#/L),Daphnia (#/L),Bosminidae (#/L),Total Macozooplankton Density (#/L),Calanoida length (mm),Chydoridae length (mm),Cyclopoida length (mm),Ostracoda length (mm),Daphnia length (mm),Bosminidae length (mm),Macozooplankton average biomass (ug),Hydrobiidae (#),Dreissena (#),Chironomidae (#),Caenis (#),Asellus (#),Benthic prey abundance (#),Hydrobiidae length (mm),Dreissena length (mm),Chironomidae length (mm),Caenis length (mm),Asellus length (mm),Benthic prey average biomass (mg) 
1,Geneva,Low,1,0.039146801,30.75,53,5,3.7,2.7,0.3,0,0,11.7,0.465177123,0.24452814,0.302588162,0.320603169,NA,0.221819081,0.702374832,5,11,14,21,2,37,3.6,9,6.333333333,4.952380952,5.5,0.352058121
2,Constance,High,1,0.072138281,60.75,25,0,0.3,0,0.1,0,0,0.4,NA,0.267418484,NA,0.474640969,NA,NA,0.501357367,6,12,10,19,0,29,2.5,9.428571429,6.6,4.526315789,NA,0.262393928
3,Constance,High,1,0.062313253,53.5,43,0.2,0.3,0.8,0.2,0,0.1,1.6,0.547070964,0.261723029,0.247310405,0.429185912,NA,0.225181213,0.493648927,7,15,15,37,3,55,3,9.636363636,4.333333333,4.540540541,6,0.329843627
4,Control,Control,1,0.014176485,98.25,44,0.4,0.5,0.3,0.2,0.8,0,2.2,0.663995145,0.258901224,0.479101575,0.350960353,0.952479309,0.425723929,2.332020439,4,12,12,5,3,20,3.25,7.25,4.625,3.6,5,0.216152669
5,Geneva,Low,1,0.072200258,74.25,27,6.3,0.1,4.5,0,0.1,0,11,0.48103281,0.128226425,0.293372646,NA,0.560904882,NA,0.857798252,5,18,34,11,0,45,3,10.52941176,5.769230769,4.272727273,NA,0.153772234
6,Mix,Mix,1,0.072272022,17,38,0,0.3,0,0.2,0,0,0.5,NA,0.274578299,NA,0.317060479,NA,NA,0.556215793,4,12,39,48,0,87,3.75,11.22222222,5.2,4.666666667,NA,0.236624447
7,Geneva,High,1,0.127265432,57.5,30,0,0.3,0,0,0,0,0.3,NA,0.151391651,NA,NA,NA,0.214414499,0.053590237,2,23,21,22,0,43,3,8.384615385,5.25,4.863636364,NA,0.248795604
8,Constance,Low,1,0.083685625,77.5,33,9.4,0.3,0.2,0,0,0,9.9,0.486592647,0.193643666,0.142828385,NA,NA,0.081140479,1.194603825,9,16,20,5,3,28,3.111111111,10.08333333,6.888888889,5,6,0.368656869
9,Geneva,High,1,0.061024778,91.25,18,0.2,0.1,0,0.2,0,0,0.5,0.585002556,0.485768175,NA,0.502257136,NA,0.204370168,3.043804727,3,15,9,9,0,18,2.666666667,10.35714286,6.888888889,4.444444444,NA,0.232765113
10,Constance,Low,1,0.064622722,72.5,24,0.6,0.2,3.3,0.2,0,0,4.3,0.511310914,0.197638806,0.268253292,0.348878043,NA,NA,0.455377247,2,8,7,7,3,17,3,10.42857143,5,4.142857143,6,0.437289336
11,Geneva,High,2,0.071107501,46.25,27,0.1,0.4,0,0.1,0,0,0.6,0.47604507,0.249363051,NA,0.380817292,NA,NA,0.542358062,6,5,15,35,0,50,3.166666667,10.2,5.2,4.542857143,NA,0.25725895
12,Mix,Mix,2,0.074118292,58.75,28,0,0.3,0.1,0,0,0,0.4,NA,0.15537512,0.241793126,NA,NA,0.247591302,0.10299074,13,3,10,31,0,41,3,5,5.2,4.903225806,NA,0.328062098
13,Constance,Low,2,0.033549275,88.75,12,0.1,1.6,1.8,0,0.1,0,3.6,0.701699666,0.223982527,0.311199661,NA,0.645907588,NA,0.444003545,1,6,25,8,1,34,2,12,5.92,4.5,7,0.251031145
14,Constance,High,2,0.072190472,76.25,6,0,0.8,0.3,0.1,0,0,1.2,NA,0.229101545,0.339890298,0.270768319,NA,0.313245722,0.342967062,3,1,7,11,0,18,3.333333333,8,5.166666667,4.818181818,NA,0.271261251
15,Geneva,High,2,0.079963727,19.5,41,0.2,0.5,0,0.6,0,0,1.3,0.717082711,0.243795066,NA,0.313962314,NA,NA,1.156006246,3,22,62,46,0,108,4.333333333,10.27272727,6.421052632,4.913043478,NA,0.252386633
16,Geneva,Low,2,0.029445727,100,33,0.2,0.9,1.2,0.2,0.1,0,2.6,0.480836026,0.29101086,0.254882546,0.236620464,0.75542087,NA,0.578022508,7,13,27,11,3,41,3.285714286,9.545454545,7.875,5.090909091,5.666666667,0.35166695
17,Geneva,Low,2,0.027589671,70.5,52,0,1.1,1,0,0.4,0.1,2.8,NA,0.191849225,0.232320424,NA,0.421805847,0.119121976,0.184414417,12,21,5,15,3,23,3.166666667,8.055555556,4.5,5.066666667,7,0.694445694
18,Constance,Low,2,0.090995681,92,27,1.2,1.6,2,0,0,0,4.8,0.468117834,0.232100213,0.331891956,NA,NA,NA,0.58944786,7,15,3,9,15,27,3.714285714,7.933333333,5,4.555555556,5.666666667,0.873117075
19,Control,Control,2,0.031239806,100,12,2.3,0.7,0.4,0,0,0,3.4,0.44294358,0.322252502,0.433694363,NA,NA,0.396795374,1.002727444,4,11,0,4,12,16,3,8.818181818,NA,5,4.916666667,0.703733763
20,Constance,High,2,0.069437377,40,34,0.2,1.7,1.7,0,0,0,3.6,0.342702076,0.258309646,0.273670917,NA,NA,NA,0.385283969,8,23,0,28,2,30,3.75,9,NA,4.642857143,6,0.43609118
21,Geneva,Low,3,0.03079618,93.75,31,0.1,1.9,1.7,0.1,0,0.2,4,0.62581792,0.217994841,0.288993411,0.50073364,NA,0.305311119,0.35511968,12,5,6,28,3,37,3,8.5,5,4.392857143,5.333333333,0.327521831
22,Geneva,Low,3,0.053900654,93.75,45,1.1,2.7,2.5,0,0,0,6.3,0.597696193,0.213304634,0.29731852,NA,NA,0.291037392,0.598884114,8,4,13,14,0,27,2.75,9.333333333,3.923076923,4.428571429,NA,0.185330831
23,Constance,High,3,0.096068031,48.75,32,0,6.4,2.3,0.1,0,0,8.8,NA,0.207429922,0.330390904,0.261754863,NA,0.31899422,0.266687514,6,20,4,38,0,42,2.5,10.5,4.25,4.684210526,NA,0.328124005
24,Constance,Low,3,0.092417896,78.75,14,0.9,1.7,0.9,0.4,0,0,3.9,0.422894838,0.228418091,0.334053428,0.461909568,NA,0.231373346,0.491651195,1,4,18,14,3,35,3,14,5.083333333,4.714285714,6,0.335501041
25,Constance,High,3,0.095748359,72.5,17,0,13.3,0.6,0,0,0,13.9,NA,0.190289441,0.253318016,NA,NA,0.261775627,0.137247197,8,5,29,43,1,73,3.75,7.75,5.392857143,5.186046512,7,0.35838803
26,Control,Control,3,0.048508631,100,17,1.4,2,3.9,0.2,0,0,7.5,0.380363996,0.230429802,0.286446367,0.33301988,NA,NA,0.397185301,0,4,9,19,2,30,NA,9.5,4.25,4.578947368,4.5,0.269395746
27,Mix,Mix,3,0.111790686,90,17,0.1,1.9,0.3,0.1,0,0,2.4,0.328860756,0.251348554,0.311526538,0.248053033,NA,0.307210755,0.401941743,4,24,16,36,0,52,3.25,10.36842105,6.428571429,5.055555556,NA,0.346563516
28,Constance,Low,3,0.12135802,75,24,0.9,0.3,2.2,0,0,0,3.4,0.451791604,0.219758061,0.348459348,NA,NA,0.141806145,0.661573809,3,28,0,19,0,19,3.666666667,9.32,NA,4.315789474,NA,0.284014705
29,Geneva,High,3,0.0929235,78.75,9,0.1,0.3,0.4,0.1,0,0,0.9,0.667772818,0.236248944,0.302996463,0.330077657,NA,NA,0.650964636,5,18,10,25,1,36,2.8,10.6875,4.6,4.92,5,0.327347704
30,Geneva,High,3,0.06782923,86.25,38,0.1,0.4,0.2,0.2,0,0,0.9,0.740360372,0.282751148,0.320914305,0.374156189,NA,0.248308718,0.978112009,7,11,26,31,0,57,3.571428571,7.75,4.538461538,4.612903226,NA,0.219138767
31,Control,Control,4,0.028548688,100,31,0.8,0.5,1.3,0.1,0.1,0,2.8,0.45988582,0.257586312,0.295042719,0.551395505,1.153277099,NA,0.82641887,0,22,4,12,27,43,NA,7.681818182,6,4.5,5.185185185,0.710746702
32,Mix,Mix,4,0.066035151,65,38,0.1,1.2,0.7,0.5,0.2,0.1,4.3,0.301601881,0.087790195,0.227675633,0.110628545,0.196141255,0.093358868,0.052449207,1,10,7,18,2,27,5,8.777777778,5.142857143,5,5.5,0.397623839
33,Geneva,Low,4,0.052292507,91.25,35,0.9,1.6,2.5,0.2,0,0,5.2,0.461646649,0.271655266,0.358081838,0.295364235,NA,0.25815936,0.669346477,0,2,17,16,10,43,NA,14.5,4.3125,4.8125,6,0.559977513
34,Geneva,High,4,0.087469501,48.75,37,0,0.3,0.1,0,0,0,0.4,NA,0.260610084,0.22699225,NA,NA,NA,0.390031295,0,12,8,35,0,43,NA,8.5,4.75,4.685714286,NA,0.304746745
35,Constance,Low,4,0.078097885,83.75,27,0.4,2,3.2,0,0,0,5.6,0.388315318,0.2549043,0.302446795,NA,NA,0.223621538,0.429049862,0,10,7,7,0,14,NA,8,4.285714286,5.428571429,NA,0.300080736
36,Constance,High,4,0.103645568,61.25,40,0.1,0.2,0.6,0,0,0,0.9,0.34132249,0.255383548,0.317561442,NA,NA,0.344716617,0.45229439,0,13,3,32,3,38,NA,10.5,6.666666667,4.78125,7,0.565200979
37,Constance,Low,4,0.067065931,97.5,24,1.8,4,4.4,0.6,0,0.2,11.2,0.507825434,0.226631293,0.28893948,0.22351964,NA,0.221338412,0.487417725,0,14,9,12,3,24,NA,9.416666667,5.142857143,5.416666667,5.666666667,0.469510289
38,Geneva,High,4,0.080345376,63.75,61,0.1,2.8,0,0,0,0,2.9,0.74743156,0.2090252,NA,NA,NA,0.278720285,0.304748107,0,22,3,19,5,27,NA,9.904761905,6.333333333,4.789473684,5.6,0.52142826
39,Constance,High,4,0.071365196,85,35,0.1,13.1,2.2,0,0,0,15.4,0.418857271,0.206807449,0.294277597,NA,NA,0.19743039,0.214523151,0,61,0,0,0,0,NA,8.788461538,NA,NA,NA,NA
40,Geneva,Low,4,0.076695241,83.75,50,1.6,22,2.6,0,0,0,26.2,0.329415899,0.227230737,0.283374782,NA,NA,0.255160755,0.285947848,0,11,8,13,2,23,NA,8.4,5.875,5.230769231,5.5,0.418873993
41,Geneva,High,5,0.041909683,93.75,37,0.1,1.2,0.3,0,0,0,1.6,0.650860508,0.227305519,0.367543915,NA,NA,0.154205291,0.475559514,0,11,14,9,3,26,NA,8.636363636,6.214285714,4.444444444,4.666666667,0.252502218
42,Geneva,High,5,0.069881004,98.25,27,0.2,0.6,0.1,0,0,0,0.9,0.402595525,0.274281942,0.289905647,NA,NA,NA,0.58603106,4,8,3,11,0,14,1,9.125,4.333333333,5.181818182,NA,0.383518488
43,Constance,High,5,0.096655185,27.5,26,0.1,0.2,0.6,0.1,0,0,1,0.57592787,0.25175579,0.29648984,0.26538083,NA,0.44409362,0.550716538,0,19,9,28,1,38,NA,9.157894737,8.25,4.607142857,6,0.346513656
44,Geneva,Low,5,0.11706854,96.25,54,0.5,19.6,5.1,0,0,0,25.2,0.366392235,0.208476634,0.315140303,NA,NA,0.161377963,0.248529785,2,9,4,24,0,28,3.5,8.125,5,4.708333333,NA,0.321854401
45,Control,Control,5,0.075726439,97.5,21,1.1,1.3,2.1,0.2,0,0,4.7,0.306851721,0.210153509,0.284772999,0.426425748,NA,0.290703399,0.319086342,10,5,5,3,3,11,3.6,9,6.75,5,4,0.285326403
46,Constance,High,5,0.093243173,66.25,22,0.4,1.4,1.6,0.2,0.2,0,3.8,0.384929874,0.199398397,0.270511625,0.306564956,0.381022314,NA,0.292619791,0,2,1,10,2,13,NA,12.5,8,5.2,5.5,0.567224433
47,Constance,Low,5,0.097747942,82.5,12,3.5,0.9,2.6,0.1,0,0,7.1,0.437953751,0.291243929,0.309273949,0.355054351,NA,0.197009709,0.733295818,0,23,4,21,0,25,NA,10.56521739,6.25,6.047619048,NA,0.624464585
48,Mix,Mix,5,0.147287353,68.75,19,0,1.6,0.9,0.1,0,0,2.6,NA,0.229587716,0.271651089,0.368378081,NA,0.25265457,0.287540481,10,5,4,34,0,38,3.7,12.4,6.75,5.235294118,NA,0.448211443
49,Constance,Low,5,0.079314597,98.75,21,1.1,0.9,2.7,0,0,0,4.7,0.583650315,0.226198581,0.295340165,NA,NA,0.209406127,0.720258889,0,24,18,23,0,41,NA,9.541666667,4.277777778,4.956521739,NA,0.262206992
50,Geneva,Low,5,0.086954111,98.75,27,0.2,0.6,2.5,0,0,0,3.3,0.451481926,0.225019138,0.27877053,NA,NA,NA,0.35898226,0,30,4,12,0,16,NA,7.793103448,7,5.25,NA,0.405680169
